BamID,SampleID,Year,Population,Group
CPB2015_417_S631.bam,CPB2015_417,2015,H53-2015,H53
CPB2015_442A_S639.bam,CPB2015_442A,2015,H53-2015,H53
CPB2015_442B_S640.bam,CPB2015_442B,2015,H53-2015,H53
CPB2015_442C_S641.bam,CPB2015_442C,2015,H53-2015,H53
CPB2015_442D_S642.bam,CPB2015_442D,2015,H53-2015,H53
CPB2015_442E_S643.bam,CPB2015_442E,2015,H53-2015,H53
CPB2015_504A_S649.bam,CPB2015_504A,2015,H53-2015,H53
CPB2015_504B_S001.bam,CPB2015_504B,2015,H53-2015,H53
CPB2015_504C_S651.bam,CPB2015_504C,2015,H53-2015,H53
CPBWGS_44_S44_L005.bam,CPBWGS_44,2015,H53-2015,H53
CPBWGS_45_S45_L005.bam,CPBWGS_45,2015,H53-2015,H53
CPBWGS_46_S46_L005.bam,CPBWGS_46,2015,H53-2015,H53
CPBWGS_47_S47_L005.bam,CPBWGS_47,2015,H53-2015,H53
CPBWGS_48_S48_L005.bam,CPBWGS_48,2015,H53-2015,H53
H66_2023A_S524.bam,H66_2023A,2023,H66-2023,H53
H66_2023B_S525.bam,H66_2023B,2023,H66-2023,H53
H66_2023C_S526.bam,H66_2023C,2023,H66-2023,H53
H66_2023D_S527.bam,H66_2023K,2023,H66-2023,H53
H66_2023E_S528.bam,H66_2023E,2023,H66-2023,H53
H66_2023F_S529.bam,H66_2023F,2023,H66-2023,H53
H66_2023G_S530.bam,H66_2023G,2023,H66-2023,H53
H66_2023H_S531.bam,H66_2023H,2023,H66-2023,H53
H66_2023I_S532.bam,H66_2023I,2023,H66-2023,H53
H66_2023J_S533.bam,H66_2023J,2023,H66-2023,H53
SDS23_017A_S534.bam,SDS23_017A,2023,H66-2023,H53
SDS23_017B_S535.bam,SDS23_017B,2023,H66-2023,H53
CPB2015_241A_S611.bam,CPB2015_241A,2015,H67-2015,H67
CPB2015_241B_S612.bam,CPB2015_241B,2015,H67-2015,H67
CPB2015_241C_S613.bam,CPB2015_241C,2015,H67-2015,H67
CPB2015_202A_S231.bam,CPB2015_202A,2015,Refuge-2015,H67
CPB2015_202B_S232.bam,CPB2015_202B,2015,Refuge-2015,H67
CPB2015_202C_S233.bam,CPB2015_202C,2015,Refuge-2015,H67
CPB2015_202D_S234.bam,CPB2015_202D,2015,Refuge-2015,H67
CPB2015_258A_S239.bam,CPB2015_258A,2015,Refuge-2015,H67
CPB2015_258B_S240.bam,CPB2015_258B,2015,Refuge-2015,H67
CPB2015_258C_S241.bam,CPB2015_258C,2015,Refuge-2015,H67
CPB2015_258D_S242.bam,CPB2015_258D,2015,Refuge-2015,H67
CPB2015_258E_S243.bam,CPB2015_258E,2015,Refuge-2015,H67
CPB2015_26A_S244.bam,CPB2015_26A,2015,Hesler-2015,Hesler
CPB2015_26B_S245.bam,CPB2015_26B,2015,Hesler-2015,Hesler
CPB2015_26C_S246.bam,CPB2015_26C,2015,Hesler-2015,Hesler
CPB2015_26D_S247.bam,CPB2015_26D,2015,Hesler-2015,Hesler
CPB2015_26E_S248.bam,CPB2015_26E,2015,Hesler-2015,Hesler
CPB2015_26F_S249.bam,CPB2015_26F,2015,Hesler-2015,Hesler
CPB2015_26G_S250.bam,CPB2015_26G,2015,Hesler-2015,Hesler
CPB2015_26H_S251.bam,CPB2015_26H,2015,Hesler-2015,Hesler
SilverValley2015_133A_S320.bam,SilverValley2015_133B,2015,SilverValley-2015,Hesler
SilverValley2015_133B_S321.bam,SilverValley2015_133A,2015,SilverValley-2015,Hesler
SilverValley2015_133C_S322.bam,SilverValley2015_133C,2015,SilverValley-2015,Hesler
SilverValley2015_133D_S323.bam,SilverValley2015_133D,2015,SilverValley-2015,Hesler
SilverValley2015_133E_S324.bam,SilverValley2015_133E,2015,SilverValley-2015,Hesler
SilverValley2015_133F_S325.bam,SilverValley2015_133F,2015,SilverValley-2015,Hesler
SDS23_046A_S470.bam,SDS23_046A,2023,Du-2023,Hesler
SDS23_046B_S471.bam,SDS23_046B,2023,Du-2023,Hesler
SDS23_046C_S472.bam,SDS23_046C,2023,Du-2023,Hesler
SDS23_046D_S473.bam,SDS23_046D,2023,Du-2023,Hesler
SDS23_046E_S474.bam,SDS23_046E,2023,Du-2023,Hesler
SDS23_046F_S475.bam,SDS23_046F,2023,Du-2023,Hesler
SDS23_046G_S476.bam,SDS23_046G,2023,Du-2023,Hesler
SDS23_046H_S477.bam,SDS23_046H,2023,Du-2023,Hesler
Okrrobacks_1_S288.bam,Okrrobacks_1,2019,OkrayRobacks-2019,Okray1
Okrrobacks_2_S291.bam,Okrrobacks_2,2019,OkrayRobacks-2019,Okray1
Okrrobacks_3_S292.bam,Okrrobacks_3,2019,OkrayRobacks-2019,Okray1
Okrrobacks_5_S293.bam,Okrrobacks_5,2019,OkrayRobacks-2019,Okray1
Okrrobacks_7_S294.bam,Okrrobacks_7,2019,OkrayRobacks-2019,Okray1
Okrrobacks_9_S295.bam,Okrrobacks_9,2019,OkrayRobacks-2019,Okray1
Okrrobacks_11_S289.bam,Okrrobacks_11,2019,OkrayRobacks-2019,Okray1
Okrrobacks_12_S290.bam,Okrrobacks_12,2019,OkrayRobacks-2019,Okray1
Okrgrosh_1_S280.bam,Okrgrosh_1,2019,OkrayGrosheks40-2019,Okray1
Okrgrosh_2_S281.bam,Okrgrosh_2,2019,OkrayGrosheks40-2019,Okray1
Okrgrosh_3_S282.bam,Okrgrosh_3,2019,OkrayGrosheks40-2019,Okray1
