"SampleID","Year","Population","Pco1","Pco2","Pco3","Pco4","Pco5","Pco6","Pco7","Pco8","Pco9","Pco10","PC11","Latitude","Longitude"
"CPB2015_442D",2015,"H53-2015",0.000592453141454511,0.0145841119418877,-0.0134736294657234,-0.0100854223734691,0.00227978921598045,0.00352265316165341,0.0200708999312317,0.00237913338843823,0.00537031860260686,-0.00727522166125897,-0.0289003070806133,44.08141111,-89.5689
"CPB2015_442E",2015,"H53-2015",0.00757932036977016,-0.0104317732796944,-0.00920908497661327,-0.00353924140563366,-0.00302835854055037,0.0210711930639871,-0.00773594756176166,-0.00743271682918088,-0.0223183624596448,-0.00474539403789764,0.00309111762078281,44.08141111,-89.5689
"CPB2015_504A",2015,"H53-2015",0.00788129541019638,-0.00940503279321363,0.00633724527080579,-0.00975531113500331,-0.00479478707173037,0.00958775515262104,-0.00803370851908257,0.0095154524741744,-0.00244913763947488,-0.0056871534597382,0.0117480492848202,44.08141111,-89.5689
"CPB2015_504B",2015,"H53-2015",0.0376498105347825,-0.00231323940311973,0.00609793061678233,-0.00204460674241536,0.000395905113105929,0.0229224312788636,-0.00763719285318052,0.0144134347907306,-0.00185429608709706,-0.0215794577512688,0.00797121487528148,44.08141111,-89.5689
"CPB2015_504C",2015,"H53-2015",-0.0217551185089894,0.0197875561602791,0.017449453741461,0.00262496908061638,-0.00490007722664933,-0.0106028125573402,0.00392434693797459,0.0137385239897304,0.0149238499435155,0.00933553051956758,0.00686233785884797,44.08141111,-89.5689
"CPBWGS_44",2015,"H53-2015",0.0297144577787767,0.0273505357175643,-0.00262244080934697,-0.00875556371877276,0.00814474494922336,0.0125673436924516,-0.0035391973647999,0.00357569107972084,-0.00921656653591658,-0.00643663022422424,-0.00467107502346273,44.08141111,-89.5689
"CPBWGS_45",2015,"H53-2015",0.036697494672645,-0.000686619748502965,-0.00317690450064727,0.00613588598701105,-0.000828424305651924,0.0231500222315865,-0.00630991267012927,0.00459165205052266,0.0110006566562184,-0.000702210932476816,-0.00818255356507491,44.08141111,-89.5689
"CPBWGS_46",2015,"H53-2015",-0.0124961562893022,-0.0130794802536139,0.0204949367116758,0.00195140237229434,-0.00887447149292746,-0.00967617744917116,0.00310728073769282,0.00311353979518659,0.0122137941142998,0.00580242762295653,0.00805122831568601,44.08141111,-89.5689
"CPBWGS_47",2015,"H53-2015",0.00148834776398102,0.0574871397080914,0.0137191194540709,-0.0197777150646547,0.000773010751323208,0.0205329819171813,-0.0012147948561647,0.00684557928463251,0.0182375649128414,0.0163127295309308,-0.0233725780593929,44.08141111,-89.5689
"CPBWGS_48",2015,"H53-2015",-0.0120748704353878,-0.00918360444748001,0.0123344480429161,0.0157076484028387,0.00972510964666956,-0.00122584457235383,-0.00426409395135434,0.00601826020503921,-0.0177735863359234,0.0192008229525774,-0.0199245014190348,44.08141111,-89.5689
"H66_2023A",2023,"H66-2023",0.00995483640305619,-0.0063196022026107,0.02236409675378,-0.00127074510103903,0.0045432426640386,0.0133194996493626,0.0156527785031834,0.0043125021204339,0.00715314284149083,-0.0323463365583805,0.00614177982161415,44.08271,-89.55361
"H66_2023B",2023,"H66-2023",0.00195842267208853,0.0246359878207187,0.00584778097886942,-0.0163628401332112,-0.00165541780448488,0.00284967535282562,0.010904216039113,0.0027540061050239,0.000535894966985977,-0.0335179937399627,-0.00551493188123697,44.08271,-89.55361
"H66_2023C",2023,"H66-2023",0.0115397198309384,-0.00531303445576266,0.0104601241719082,-0.00651672885482565,0.00417876481708738,0.00299551332990955,-0.00155565830719192,-0.0134650059996569,-0.0265412245049469,-0.00538172085614498,-0.00225372717732487,44.08271,-89.55361
"H66_2023K",2023,"H66-2023",0.00635145090957933,0.0158430312181464,0.00406781756592554,-0.0133414689774276,0.0193890990717262,0.0130240748631831,-0.00694826537582243,-0.0143128694311406,-0.0209666929563015,0.00439508872754842,0.00266244959314279,44.08271,-89.55361
"H66_2023E",2023,"H66-2023",-0.0181264930766573,0.015063460888424,0.0208065766813772,-0.00771718298890547,0.00209196311867109,-0.00886862358765218,-0.00773054545463357,0.0182595731577196,0.0157185549052235,0.0234437011741627,0.00919747237741201,44.08271,-89.55361
"H66_2023F",2023,"H66-2023",-0.00523043875376674,0.0373053961920632,0.00990977521514305,-0.0166659349754319,0.00266831140567051,0.00188177412732426,-0.00247187888609971,0.0139814379029216,0.00784213828066307,0.00155039567306929,0.0077770053760843,44.08271,-89.55361
"H66_2023G",2023,"H66-2023",0.00750710394319207,-0.00610258330817106,0.00272391935291396,0.0169764195954355,-0.00387216495624429,0.00592765846039917,0.00328174152175724,0.0035451877884465,0.014593636183198,0.00272020564801428,-0.0185776506530767,44.08271,-89.55361
"H66_2023H",2023,"H66-2023",-0.0155581679370845,-0.0137509460979258,0.00238696342153445,0.00737484235031601,-0.00981873795196055,-0.00312668085395226,0.00953266909605763,-0.0051642750260272,0.00695330835338484,0.0114199428774664,0.0113518009528652,44.08271,-89.55361
"H66_2023I",2023,"H66-2023",-0.0168719937605064,-0.013150444870024,0.00876014112708582,-0.00485894650957377,-0.00351428677025752,-0.00562310937569479,-0.00156137875062934,0.022463041252193,-0.000759525673376971,0.00258564445210624,-0.00431420364513769,44.08271,-89.55361
